,MONTH,NKB_Банки з державною часткою,NRB_Банки з державною часткою,QUARTER,YEAR,Банк  ,Банк   ,"Кредити, що надані субєктам господарювання за видами економічної діяльності, що класифікуються за секціями (А,B-E,F)","Кредитні операції, що класифіковані за I категорією якості","Кредитні операції, що класифіковані за I категорією якості__величина кредитного ризику за такими операціями","Кредитні операції, що класифіковані за II категорією якості","Кредитні операції, що класифіковані за II категорією якості__величина кредитного ризику за такими операціями","Кредитні операції, що класифіковані за III категорією якості","Кредитні операції, що класифіковані за III категорією якості__величина кредитного ризику за такими операціями","Кредитні операції, що класифіковані за IV категорією якості","Кредитні операції, що класифіковані за IV категорією якості__величина кредитного ризику за такими операціями","Кредитні операції, що класифіковані за V категорією якості","Кредитні операції, що класифіковані за V категорією якості__величина кредитного ризику за такими операціями",МФО,Рентабельність активів (%),№ п/п,№п/п
87,01,,240,4,2017,,"АТ ""КІБ""",79611.78914,89365.28389,1067.37938,125901.98159,5865.02892,892.27909,175.66859,336.23881,90.51687,4846.33075,2152.57549,322540,0.9052,88,
88,01,,290,4,2017,,"""ПЕРШИЙ ІНВЕСТИЦІЙНИЙ БАНК""",317834.32813,448232.56672,838.88886,446683.50583,10817.17039,57354.94706,2494.09269,16.76777,13.41422,8516.02449,7611.16485,300506,0.21,89,
89,01,,91,4,2017,,"ПАТ АКБ ""Львів""",766976.87655,407098.8443,343.2453,415299.79719,678.44932,151296.74165,13490.66073,95554.17667,33374.45134,92382.59626,60692.61184,325268,-0.2817,90,
90,01,,262,4,2017,,"АБ ""ЕКСПРЕС-БАНК""",106452.95151,202423.63331,1971.84167,369088.24351,8538.76288,39234.1337,12828.67834,19664.02839,145.40668,183905.44364,175182.59352,322959,0.0149,91,
91,01,,101,4,2017,,"АКБ ""ІНДУСТРІАЛБАНК""",386028.71364,487765.24087,9625.50464,1643767.04609,12083.90412,162411.41095,22802.54778,78139.11981,67305.58965,67508.49694,60535.18171,313849,0.0035,92,
92,01,,128,4,2017,,"АТ ""РЕГІОН-БАНК""",67869.08863,42149.55251,98.99505,52044.12645,937.48251,17632.44528,89.14964,53004.32745,27950.76834,14049.91008,11454.13008,351254,0.25,93,
93,01,,66,4,2017,,"АТ ""РОДОВІД БАНК""",1724694.73357,0,0,2440.35438,143.82587,232.21129,166.98058,1261.65681,1153.49851,7165416.87069,7163186.33148,321712,-2.71,94,
94,01,,169,4,2017,,"АТ ""НК БАНК""",35797.86363,25186.33444,3.25842,,,194927.56233,20055.81627,,,51941.97943,39976.36416,322432,2.5008,95,
95,01,,304,4,2017,,"АТ ""ФОРТУНА-БАНК""",150565.19645,132523.50482,257.63041,1129190.53419,188858.40282,,,610739.47859,324439.9259,228274.48162,183051.81056,300904,-11.5254,96,
96,01,,316,4,2017,,"ПАТ ""ПтБ""",419630.02142,1202539.06249,-8436.97292,2607664.86284,-89426.26532,434472.26358,-96229.25934,288385.63301,-178763.44383,1386573.97716,-1255391.87387,380388,-8.0379,97,
97,01,,317,4,2017,,"ПАТ КБ""ФІНАНСОВА ІНІЦІАТИВА",14842154.30184,231034.9734,1856.80631,8659288.52714,1731877.58081,10696563.54571,5385629.55826,1468317.75396,1168709.01917,301888.5599,301888.5599,380054,-3.1586,98,
98,01,,513,4,2017,,"ПАТ ""БАНК ""ЮНІСОН""",297932.00776,51294.98568,222.57347,110971.26336,5348.54837,298960.61567,75483.00926,20284.88944,8297.55094,17431.30809,17391.51239,380902,-13.3816,99,
99,01,,109,4,2017,,"ПАТ ""КБ""ІНВЕСТБАНК""",,"інформація відсутня, на дату надання показників банк ліквідовано",,,,,,,,,,328210,,100,
100,01,,,4,2017,,,,,,,,,,,,,,,,"* Без врахування коригуючих річних проводок, у тому числі за результатами зовнішнього аудиту",
101,10,  2,,4,2016,"АТ ""Укрексімбанк""",,61137352.96549,27676457.5947,99808.3447,27325857.5435,231708.78705,11585997.70725,511915.44794,13251875.43225,4172432.26632,42605160.09004,39994949.85127,322313,-0.3,1,
102,10,  6,,4,2016,"АТ ""ОЩАДБАНК""",,43867380.38598,8413802.35017,94609.65494,40692195.52272,4502588.96834,17623545.86973,3485696.48818,20961070.20402,5506177.75132,43646547.32258,37556475.43811,300465,0.3,2,
103,10,274,,4,2016,"АБ ""УКРГАЗБАНК""",,13027722.71767,16609659.33954,53480.68492,8553828.25983,155339.59745,1038039.32862,5182.13156,521850.99056,399652.06538,6899874.05235,6800886.89413,320478,0.3111,3,
104,10,313,,4,2016,Укр.банк реконстр.та розв.,,0,,0,,,,,,,,,380883,-2.4849,4,
105,10,593,,4,2016,"ПАТ ""РОЗРАХУНКОВИЙ ЦЕНТР""",,,,,,,,,,,0,0,344443,1.1227,5,
106,10,  3,,4,2016,"ПАТ ""Промінвестбанк""",,31485737.15288,1143357.5791,9659.37815,23388054.53867,1460482.29824,1092467.71532,94206.43905,4893769.10955,2391729.12977,25226916.13909,20653431.46189,300012,-14.1,6,
107,10,  5,,4,2016,"ПАТ ""УКРСОЦБАНК""",,14782596.52052,13362401.63921,135871.8885,9078677.71775,114857.01685,9487010.34833,4645176.42088,253090.74933,161248.46444,31715742.41741,25367547.87383,300023,-7.24,7,
108,10, 36,,4,2016,"АТ ""Райффайзен Банк Аваль""",,16763436.2536,32408062.16067,151747.09286,9584740.50652,312522.60634,4872359.50792,618190.56715,3030343.93966,937278.84815,24970109.21237,24132890.20353,300335,3.5613,8,
109,10, 42,,4,2016,"ПАТ ""ВТБ БАНК""",,16080506.92861,1368441.22574,8547.57239,2333095.40373,240725.15378,630884.78776,6305.5396,12656982.18976,3596904.85832,22302748.72436,19670952.11527,321767,-32.2971,9,
110,10, 43,,4,2016,"ПАТ ""НЕОС БАНК""",,0,874.55883,0,234.75106,37.37392,0,0,0,0,0,0,320940,-1.9118,10,
111,10, 88,,4,2016,"ПАТ ""КРЕДОБАНК""",,2267918.34592,4542479.06148,7063.17636,1993373.26964,17021.51679,65334.64728,3986.29078,50255.01725,8834.51141,629313.52405,527188.96893,325365,3.1832,11,
